0x87111da0,r_cmdbuf_worker
0x18bc2e56,r_fxaa
0x6170fff0,ragdoll_enable
0xeef7e8a6,snd_losOcclusion
0x627dec6b,sm_enable
0x55ddaf3d,cg_fov_default
0x41defe0e,cg_fov_default_thirdperson
0x393a833b,sm_polygonOffsetScale
0x90fe9427,cg_chatHeight
0xabb9b265,sv_cheats
0x395effa8,allClientDvarsEnabled
0xf52755d3,con_gameMsgWindow0Filter
0x42219294,con_gameMsgWindow1Filter
0x8f1bcf55,con_gameMsgWindow2Filter
0xdc160c16,con_gameMsgWindow3Filter
0xdb14681b,live_steamid
0xb90db765,live_service
0xfe18cd45,username
0x209fff3b,FriendXuidToJoinOnBoot
0x8948c3dd,challengeResponseResendInterval
0xa3dc03e9,challengeResponseResendBackoffInterval
0x0b5b56b2,lanChallengeResponse
0xe7906176,g_erroronpathsnotconnected
0xbaa4e9e0,gamename
0xba9f6efd,gamedate
0x4f118387,g_gametype
0xee047c4e,g_disableEliteButton
0x08baec9c,g_disableEliteEmblemUploads
0x69ed03a1,g_disableEliteRegistrationPopup
0xc0b1ce53,g_minNumLogins_Before_ERegPopup
0x23e0b0a4,g_minElapsedTime_Before_ERegPopup
0xb42d06a6,g_maxElapsedTime_Before_ERegPopup
0xc377046a,g_maxERegPopupsShown
0xfe302ba9,g_minElapsedTime_Before_RefreshUCDAccountStatus
0x1f9af602,ui_scrollSpeed
0xc2c77d50,ui_scrollFontScale
0x2d7a20bd,ui_scrollMinUpdateInterval
0x9cf16803,ui_scrollEmptySpaceHeightPercentage
0xa4d4dc66,ui_scrollBarWidth
0x1e6c7d84,ui_scrollByRow
0x04242108,g_synchronousClients
0x0f7cce2d,g_log
0x672a7ae7,g_logTimeStampInSeconds
0x00a33d8a,g_logSync
0xac5fc51e,g_password
0x06bf71e8,g_banIPs
0xb695b6bc,dedicated
0xe2684a3c,g_speed
0x9725f732,g_knockback
0x33fe555c,g_maxDroppedWeapons
0xb1ae74b1,g_debugDamage
0x7c23a76d,g_debugBullets
0xc2c9d5e6,g_vehicleDrawPath
0x38d19597,g_vehicleDrawSplines
0x7c972b95,g_ai
0x1d657d7e,g_spawnai
0xfa2c162d,g_aiEventDump
0xa432f3e3,ai_turnRate
0xb42168d2,ai_useFacingTranslation
0x24833ba3,ai_useLeanRunAnimations
0x73027829,ai_useBetterLookahead
0x7ae456b9,ai_slowdownMinYawDiff
0x11931f7b,ai_slowdownMaxYawDiff
0x221321fb,ai_slowdownMinRate
0x6bfbdedb,ai_slowdownRateBlendFactor
0x3ea7d554,ai_angularYawEnabled
0x3027a78d,ai_angularYawAccelRate
0x54d41565,ai_angularYawDecelFactor
0xf7d93fd4,ai_trim_path_zigzags
0x4eed8183,ai_corpseCount
0xe48beee8,ai_showNodes
0x1571c6bc,ai_showNodesDist
0xa0898d67,ai_showNearestNode
0xa4402525,ai_showNodeDrawType
0x9224e11b,ai_showVisData
0xedce9a6f,ai_showVisDataDist
0xe4a8b70f,ai_showPaths
0xd637ff76,ai_showPathFindNodes
0x5c855b14,ai_showFailedPaths
0x255cd703,ai_debugFindPath
0xbb40f71e,ai_debugFindPathDirect
0x739f6163,ai_debugFindPathWidth
0xa663becc,ai_debugFindPathLock
0xffc390bd,ai_debugClaimedNodes
0xdd8d070b,ai_disableSpawn
0x76283e5b,ai_moveOrientMode
0x94fb1c9f,ai_ShowCanshootChecks
0x38109cee,ai_pathNegotiationOverlapCost
0xd861eec8,ai_pathChokePointCost
0x5432652d,ai_pathRandomPercent
0xd22e4e66,ai_showPotentialThreatDir
0xeb5dbd81,ai_debugCoverEntityNum
0xcd2b294e,ai_showBadPlaces
0xe3d6fa12,ai_showDodge
0x4eea15ee,ai_noDodge
0x50ef676d,ai_pathMomentum
0x7e794ed3,ai_debugMayMove
0x88b7b7a7,ai_showVolume
0x1df154f7,ai_debugAnimDeltas
0xe5058323,ai_debugThreatSelection
0xe9fdd26e,ai_debugMeleeAttackSpots
0xc8569254,ai_debugEntIndex
0x4612c9f8,ai_eventDistFootstep
0x46140ce6,ai_eventDistFootstepLite
0xb7f1ea4c,ai_eventDistNewEnemy
0x30c4fdf3,ai_eventDistReact
0x474aa0ec,ai_eventDistPain
0x2fc7a90a,ai_eventDistDeath
0x1c482e85,ai_eventDistExplosion
0xbfbe25e8,ai_eventDistGrenadePing
0x66dd092d,ai_eventDistProjPing
0x4d8214cc,ai_eventDistGunShot
0x081cb369,ai_eventDistSilencedShot
0x2539e74c,ai_eventDistBullet
0xd61a7fad,ai_eventDistBulletRunning
0x82395a7d,ai_eventDistProjImpact
0x4566db30,ai_eventDistBadPlace
0x5c6b36ac,ai_playerNearAccuracy
0xe73fdbee,ai_playerNearRange
0x0a0070df,ai_playerFarAccuracy
0x89250b01,ai_playerFarRange
0x666c859e,ai_threatUpdateInterval
0x40feb037,ai_foliageSeeThroughDist
0x8975d816,ai_friendlySuppression
0x826896ea,ai_friendlySuppressionDist
0xbd2da9c3,ai_meleeRange
0xbd8c5e76,ai_meleeWidth
0x4bd4f0cf,ai_meleeHeight
0x423a0415,ai_meleeDamage
0xa5e2522c,ai_maxAttackerCount
0x2ee36340,bullet_penetrationEnabled
0xe45bfe9e,g_entinfo
0xcb1296bf,g_entinfo_type
0xaca1f7ec,g_entinfo_AItext
0xca3a1f97,g_entinfo_maxdist
0x2d470745,g_entinfo_scale
0xff17223f,g_motd
0x67b97008,g_allowVote
